# N phi dphidN h dhdN H a aH eps_H dotsigma eta_perp eta_sigma m_iso
4.8048048048048049e+00 5.6224424349359330e+00 -1.6661843556029364e-02 4.1253105124340329e-04 1.2098369675681162e-04 7.1438233083782158e-06 1.2209565620959108e+02 8.7222979468181024e-04 1.3880858959440358e-04 1.1902929859929719e-07 2.1451322970636122e-04 -1.3515079333227490e-02 -5.0541172503612158e-11
4.9049049049049049e+00 5.6207734393556743e+00 -1.6684697497057765e-02 4.2482109207621859e-04 1.2458896553340965e-04 7.1437239112455514e-06 1.3495007630626986e+02 9.6404608693351180e-04 1.3918964413442281e-04 1.1919090664716197e-07 2.2075560979745800e-04 -1.3532828015333309e-02 -5.0541897571315242e-11
5.0050050050050050e+00 5.6191021532649348e+00 -1.6707615620766440e-02 4.3747737226444944e-04 1.2830170332889918e-04 7.1436242424884917e-06 1.4915782969220382e+02 1.0655274881461970e-03 1.3957229359956493e-04 1.1935296422756421e-07 2.2717960124575415e-04 -1.3550405244223372e-02 -5.0542624509573117e-11
5.1051051051051051e+00 5.6174285705213496e+00 -1.6730598753724353e-02 4.5051080834784167e-04 1.3212511625635535e-04 7.1435243010102815e-06 1.6486139739555540e+02 1.1776913985936631e-03 1.3995655624934216e-04 1.1951547719596576e-07 2.3379052917004605e-04 -1.3567709862544269e-02 -5.0543353321201616e-11
5.2052052052052051e+00 5.6157526842657131e+00 -1.6753645644142424e-02 4.6393264401209259e-04 1.3606250048845119e-04 7.1434240856248800e-06 1.8221826106816735e+02 1.3016623149550289e-03 1.4034241561284056e-04 1.1967843655963407e-07 2.4059371212355161e-04 -1.3585017134031390e-02 -5.0544084008449229e-11
5.3053053053053052e+00 5.6140744872780486e+00 -1.6776754035477064e-02 4.7775445897096800e-04 1.4011724792999564e-04 7.1433235950997890e-06 2.0140248227449484e+02 1.4386831037430661e-03 1.4072983826074416e-04 1.1984182614850576e-07 2.4759451982859750e-04 -1.3602782425978035e-02 -5.0544816573132013e-11
5.4054054054054061e+00 5.6123939726438739e+00 -1.6799922674887609e-02 4.9198817741717292e-04 1.4429285443084681e-04 7.1432228282362314e-06 2.2260644805052635e+02 1.5901274614271027e-03 1.4111880743015765e-04 1.2000563696391936e-07 2.5479853600573208e-04 -1.3621277996333458e-02 -5.0545551016905523e-11
5.5055055055055062e+00 5.6107111343313028e+00 -1.6823153052981946e-02 5.0664607697574926e-04 1.4859292739102445e-04 7.1431217839385788e-06 2.4604280023785489e+02 1.7575136861602695e-03 1.4150935240789703e-04 1.2016987960653526e-07 2.6221174200728769e-04 -1.3640281116739851e-02 -5.0546287341504881e-11
5.6056056056056063e+00 5.6090259672796252e+00 -1.6846449671284562e-02 5.2174079909377686e-04 1.5302118960984520e-04 7.1430204612249767e-06 2.7194656794103508e+02 1.9425198991627219e-03 1.4190155335520052e-04 1.2033458618571190e-07 2.6984060091115588e-04 -1.3659029381958315e-02 -5.0547025548770292e-11
5.7057057057057063e+00 5.6073384666000017e+00 -1.6869817633861379e-02 5.3728536180015047e-04 1.5758147623090411e-04 7.1429188591310908e-06 3.0057752449335720e+02 2.1470008683345384e-03 1.4229550103162628e-04 1.2049979311357162e-07 2.7769188110161641e-04 -1.3676656690341503e-02 -5.0547765640276250e-11
5.8058058058058064e+00 5.6056486254889215e+00 -1.6893256359535581e-02 5.5329317576920741e-04 1.6227772163472610e-04 7.1428169764588956e-06 3.3222279256763494e+02 2.3730066027186848e-03 1.4269119064766082e-04 1.2066549618796408e-07 2.8577201276269905e-04 -1.3693321000928684e-02 -5.0548507616370777e-11
5.9059059059059065e+00 5.6039564337514429e+00 -1.6916755131882035e-02 5.6977805924347813e-04 1.6711395145714309e-04 7.1427148115991088e-06 3.6719972355709854e+02 2.6228029042663858e-03 1.4308844592047005e-04 1.2083161880719553e-07 2.9408647819678988e-04 -1.3710993832511006e-02 -5.0549251475462514e-11
6.0060060060060065e+00 5.6022618861373985e+00 -1.6940318222863272e-02 5.8675423115151079e-04 1.7209435021391719e-04 7.1426123635340662e-06 4.0585908010197511e+02 2.8988940833889303e-03 1.4348734348192932e-04 1.2099819144068285e-07 3.0264250219617450e-04 -1.3728957043873818e-02 -5.0549997217751316e-11
6.1061061061061066e+00 5.6005649764856864e+00 -1.6963947245849886e-02 6.0423633634137247e-04 1.7722322078088664e-04 7.1425096311334760e-06 4.4858855367740409e+02 3.2040480650570948e-03 1.4388791528009728e-04 1.2116522556567775e-07 3.1144724474137833e-04 -1.3746971274658321e-02 -5.0550744842573448e-11
6.2062062062062067e+00 5.5988656987168799e+00 -1.6987644147732614e-02 6.2223945561016864e-04 1.8250499702211916e-04 7.1424066132746485e-06 4.9581665251846601e+02 3.5413241379195900e-03 1.4429019909608509e-04 1.2133273504157350e-07 3.2050809831957368e-04 -1.3764739317975864e-02 -5.0551494348817262e-11
6.3063063063063067e+00 5.5971640461813248e+00 -1.7011409244559701e-02 6.4077912132576916e-04 1.8794423880543813e-04 7.1423033087618807e-06 5.4801699887198924e+02 3.9141036243011650e-03 1.4469420516829564e-04 1.2150072207834938e-07 3.2983252278434360e-04 -1.3782256197315206e-02 -5.0552245734596516e-11
6.4064064064064068e+00 5.5954600115169173e+00 -1.7035240793453768e-02 6.5987133132153306e-04 1.9354563432607153e-04 7.1421997163090275e-06 6.0571307866969391e+02 4.3261237786393555e-03 1.4509990870703468e-04 1.2166917417969211e-07 3.3942796489914176e-04 -1.3799883250533379e-02 -5.0552998997144813e-11
6.5065065065065069e+00 5.5937535871454429e+00 -1.7059136489111969e-02 6.7953256108422221e-04 1.9931400971792893e-04 7.1420958346002030e-06 6.6948349125429206e+02 4.7815152542208805e-03 1.4550727517785133e-04 1.2183807483327752e-07 3.4930198741156088e-04 -1.3818079944276241e-02 -5.0553754133000579e-11
