# k_modes  P_R(k)  P_S(k)  P_RS(k)  P_T(k)  beta_iso  cosDelta
1.1875942500172221e+00 1.4775711610589032e-09 3.2345058280271401e-60 4.2953122365463714e-36 1.0222707588901907e-11 2.1890694088189482e-51 6.2132176488038066e-02
1.3202548055519703e+00 1.4511360967228223e-09 3.0818560334501989e-60 5.9468454736849349e-36 1.0221313358090303e-11 2.1237539610585927e-51 8.8925518784933030e-02
1.4677342464042664e+00 1.4262307614894016e-09 2.9414074522181369e-60 7.5204777421755737e-36 1.0219886146833091e-11 2.0623643323654359e-51 1.1611088530801253e-01
1.6316879203990147e+00 1.4027937377445862e-09 2.8155483513102303e-60 8.9200031882464591e-36 1.0218420887531814e-11 2.0071007415794949e-51 1.4193405332394940e-01
1.8139560864635880e+00 1.3807730447944065e-09 2.7098173026629494e-60 1.0233023847576049e-35 1.0216916282436833e-11 1.9625363580779014e-51 1.6729109751569560e-01
2.0165845701754304e+00 1.3601205767918281e-09 2.5939769769819200e-60 1.1566338874249995e-35 1.0215366673327476e-11 1.9071669242005288e-51 1.9472609209316680e-01
2.2418477266435501e+00 1.3407915559434498e-09 2.4724043052663779e-60 1.2800690264276117e-35 1.0213770064779795e-11 1.8439885710099564e-51 2.2232741091245573e-01
2.4922739684652271e+00 1.3227472711671604e-09 2.3914614303036917e-60 1.3946256402906855e-35 1.0212122376345410e-11 1.8079503790573113e-51 2.4796336303101860e-01
2.7706741452904242e+00 1.3059452996377563e-09 2.2818522770555000e-60 1.4908098590307909e-35 1.0210424290786104e-11 1.7472801331636488e-51 2.7309641562163062e-01
3.0801730935336153e+00 1.2903441733233053e-09 2.1827486287885403e-60 1.5928655307045561e-35 1.0208668762422157e-11 1.6916018794945466e-51 3.0014040882329790e-01
3.4242447103551177e+00 1.2758997723425872e-09 2.1007039201077633e-60 1.6884768012258610e-35 1.0206853853384385e-11 1.6464490124101308e-51 3.2614024651496348e-01
3.8067509455916357e+00 1.2625700459140526e-09 2.0305239177999116e-60 1.7792270411003581e-35 1.0204975218172213e-11 1.6082465478815392e-51 3.5139823429330763e-01
4.2319851492915035e+00 1.2503144479757467e-09 1.9831387866417290e-60 1.8828043401806920e-35 1.0203027543304655e-11 1.5861120295397862e-51 3.7811073842676407e-01
4.7047202613987427e+00 1.2390956613589472e-09 1.8509722971870615e-60 1.9297906621730084e-35 1.0201009615005013e-11 1.4938090374370723e-51 4.0295618207448886e-01
5.2302623844796514e+00 1.2288357227591656e-09 1.8317220577976426e-60 2.0049904535882002e-35 1.0198913698360584e-11 1.4906158926473804e-51 4.2260595018329011e-01
5.8145103408060699e+00 1.2194656689175056e-09 1.7687868376590697e-60 2.0689273480353169e-35 1.0196581898396983e-11 1.4504605441079658e-51 4.4547434945751491e-01
6.4640218822796580e+00 1.2109870694841645e-09 1.7068148982183049e-60 2.1279697050458246e-35 1.0194125889598501e-11 1.4094410594700606e-51 4.6806102069262423e-01
7.1860872963548239e+00 1.2033607957364823e-09 1.6423471391757995e-60 2.1978595883041615e-35 1.0191578745521118e-11 1.3648002702054526e-51 4.9438983795165653e-01
7.9888112341322284e+00 1.1965539784977613e-09 1.5884667317398247e-60 2.2454754902347806e-35 1.0188929112643801e-11 1.3275345369158343e-51 5.1505440957741777e-01
8.8812036790828746e+00 1.1905392291899737e-09 1.5531620620439391e-60 2.3047451058865036e-35 1.0186174577880707e-11 1.3045870509455526e-51 5.3597268776299467e-01
9.8732810774597191e+00 1.1852904069840591e-09 1.5209511042630718e-60 2.3575147483341783e-35 1.0183304880529778e-11 1.2831885715949501e-51 5.5524468152616291e-01
1.0976178765510586e+01 1.1807746834109039e-09 1.4883600522877530e-60 2.4101914048705870e-35 1.0180314790140973e-11 1.2604945492126637e-51 5.7492873376819331e-01
1.2202275955405364e+01 1.1769410299001598e-09 1.4231953819096312e-60 2.4417100191384756e-35 1.0177198512791614e-11 1.2092325322623524e-51 5.9660167824905463e-01
1.3565334682751763e+01 1.1737257092136134e-09 1.3828919455907943e-60 2.4794559883799635e-35 1.0173948038885004e-11 1.1782070842746732e-51 6.1543043748005100e-01
1.5080654275283054e+01 1.1710638504775050e-09 1.3426718987505051e-60 2.5114584094115216e-35 1.0170555493047131e-11 1.1465403002603372e-51 6.3336017693495716e-01
1.6765243076515016e+01 1.1689037059970037e-09 1.3160731330335586e-60 2.5578944202990221e-35 1.0167014476581590e-11 1.1259038073722491e-51 6.5215861418091270e-01
1.8638009351842911e+01 1.1672077599501610e-09 1.2757829954201791e-60 2.5849167986090471e-35 1.0163316314538746e-11 1.0930213447815444e-51 6.6986005560714279e-01
2.0719973519858549e+01 1.1659446801627542e-09 1.2481830194263303e-60 2.6083971037920512e-35 1.0159454742338470e-11 1.0705336545230400e-51 6.8374726426279819e-01
2.3034504091027827e+01 1.1650721915693180e-09 1.2268371904831195e-60 2.6486865325713104e-35 1.0155419698794140e-11 1.0530138813377786e-51 7.0058474865636744e-01
2.5607579961965065e+01 1.1645340786210718e-09 1.1915072083727314e-60 2.6654115929039249e-35 1.0151205997548095e-11 1.0231621643770172e-51 7.1554976626440470e-01
