# N phi dphidN h dhdN H a aH eps_H dotsigma eta_perp eta_sigma m_iso
5.3053053053053052e+00 5.6207077277402657e+00 -1.5125261216184082e-02 7.6246251533451570e+00 -4.6936432338892706e-02 6.9304699683685409e-06 2.0140248227449484e+02 1.3958138549582640e-03 1.2557824083772221e-04 1.0983328857826329e-07 2.2577315925677464e-03 -2.4559025904339390e-02 1.3811408741635331e-10
5.4054054054054061e+00 5.6191927292856061e+00 -1.5144192359164914e-02 7.6199257074178615e+00 -4.6960655778536441e-02 6.9303827412245321e-06 2.2260644805052635e+02 1.5427478856546632e-03 1.2589017974737980e-04 1.0996822828108692e-07 2.2195862948170744e-03 -2.4582937476131345e-02 1.3811489704165007e-10
5.5055055055055062e+00 5.6176758464008065e+00 -1.5163175048816369e-02 7.6152236108801148e+00 -4.6985408673065443e-02 6.9302952989914801e-06 2.4604280023785489e+02 1.7051492618391055e-03 1.2620358108809322e-04 1.1010363024447017e-07 2.1851556041401782e-03 -2.4603314764742795e-02 1.3811572519117973e-10
5.6056056056056063e+00 5.6161570730396182e+00 -1.5182205523217300e-02 7.6105188550021863e+00 -4.7010677612302945e-02 6.9302076407156470e-06 2.7194656794103508e+02 1.8846461830113583e-03 1.2651838586635197e-04 1.1023946697468326e-07 2.1543928813813882e-03 -2.4620962338492307e-02 1.3811657207487323e-10
5.7057057057057063e+00 5.6146363868877893e+00 -1.5201253544842398e-02 7.6058116751051941e+00 -4.7036510851928726e-02 6.9301197645430566e-06 3.0057752449335720e+02 2.0830382432688393e-03 1.2683416208348076e-04 1.1037554879504577e-07 2.1247304599850956e-03 -2.4641133198323329e-02 1.3811745634816770e-10
5.8058058058058064e+00 5.6131137858174176e+00 -1.5220321924958848e-02 7.6011020001955822e+00 -4.7062866150244888e-02 6.9300316697199460e-06 3.3222279256763494e+02 2.3023144738965103e-03 1.2715093490910253e-04 1.1051188566792570e-07 2.0965258755251625e-03 -2.4663581329614735e-02 1.3811837355572870e-10
5.9059059059059065e+00 5.6115892742617550e+00 -1.5239424738270675e-02 7.5963896646098235e+00 -4.7089672082978193e-02 6.9299433558648488e-06 3.6719972355709854e+02 2.5446732845399241e-03 1.2746888711977946e-04 1.1064855591423976e-07 2.0709750163817671e-03 -2.4686190136222842e-02 1.3811931200477774e-10
6.0060060060060065e+00 5.6100628488345521e+00 -1.5258563600842732e-02 7.5916746236565071e+00 -4.7116890943786044e-02 6.9298548221746939e-06 4.0585908010197511e+02 2.8125445033680575e-03 1.2778802858793041e-04 1.1078556250141292e-07 2.0480575519885840e-03 -2.4708914290713858e-02 1.3812026907834220e-10
6.1061061061061066e+00 5.6085345058499829e+00 -1.5277739822817457e-02 7.5869568381844328e+00 -4.7144485425728182e-02 6.9297660678309223e-06 4.4858855367740409e+02 3.1086137376910251e-03 1.2810836471522600e-04 1.1092290644266168e-07 2.0276656323066590e-03 -2.4731762205484880e-02 1.3812124254588383e-10
6.2062062062062067e+00 5.6070042413042884e+00 -1.5296954348843107e-02 7.5822362747642291e+00 -4.7172419365395228e-02 6.9296770919981537e-06 4.9581665251846601e+02 3.4358492987884228e-03 1.2842989585288227e-04 1.1106058655858503e-07 2.0096169219923849e-03 -2.4754802189297941e-02 1.3812223058014741e-10
6.3063063063063067e+00 5.6054720511087250e+00 -1.5316208145853476e-02 7.5775129029386452e+00 -4.7200658929049760e-02 6.9295878938396863e-06 5.4801699887198924e+02 3.7975319610016938e-03 1.2875262378308857e-04 1.1119860229013954e-07 1.9937150733302690e-03 -2.4778085337896275e-02 1.3812323154105762e-10
6.4064064064064068e+00 5.6039379313384439e+00 -1.5335502621082244e-02 7.5727866922366553e+00 -4.7229173606269069e-02 6.9294984725338856e-06 6.0571307866969391e+02 4.1972878534354413e-03 1.2907655862159489e-04 1.1133695667196595e-07 1.9798097915827060e-03 -2.4801564637385566e-02 1.3812424374154411e-10
6.5065065065065069e+00 5.6024018782618992e+00 -1.5354839653195083e-02 7.5680576116465037e+00 -4.7257936376578900e-02 6.9294088272755415e-06 6.6948349125429206e+02 4.6391248140127388e-03 1.2940171943296382e-04 1.1147565657461926e-07 1.9678088005743262e-03 -2.4825088984055357e-02 1.3812526541040914e-10
6.6066066066066069e+00 5.6008638879154189e+00 -1.5374220819422676e-02 7.5633256342428226e+00 -4.7286922414567306e-02 6.9293189572462468e-06 7.3996775180489635e+02 5.1274725703325539e-03 1.2972812178076238e-04 1.1161470732386239e-07 1.9575941835255116e-03 -2.4848550060451526e-02 1.3812629506784184e-10
6.7067067067067070e+00 5.5993239552184928e+00 -1.5393645811489439e-02 7.5585907470497959e+00 -4.7316106398131330e-02 6.9292288615536242e-06 8.1787270465077711e+02 5.6672271501430876e-03 1.3005575201486036e-04 1.1175410166211425e-07 1.9488433057122713e-03 -2.4872181681892563e-02 1.3812733232039890e-10
6.8068068068068071e+00 5.5977820756652434e+00 -1.5413115428416070e-02 7.5538529317921439e+00 -4.7345467605137651e-02 6.9291385393462065e-06 9.0397961178874050e+02 6.2637999668285838e-03 1.3038461569572421e-04 1.1189384060876946e-07 1.9413794970692857e-03 -2.4895992203935742e-02 1.3812837632166411e-10
6.9069069069069071e+00 5.5962382449143488e+00 -1.5432630838921893e-02 7.5491121694272367e+00 -4.7374988649159608e-02 6.9290479897851415e-06 9.9915198769061351e+02 6.9231720717974742e-03 1.3071472572247686e-04 1.1203392831950882e-07 1.9350893458365511e-03 -2.4919905102309695e-02 1.3812942613806548e-10
7.0070070070070072e+00 5.5946924584456283e+00 -1.5452192956183415e-02 7.5443684437207983e+00 -4.7404653952270587e-02 6.9289572120197827e-06 1.1043442589714148e+03 7.6519541177526270e-03 1.3104609197463370e-04 1.1217436763253377e-07 1.9298493198229227e-03 -2.4943879955849114e-02 1.3813048104177839e-10
7.1071071071071072e+00 5.5931447114962074e+00 -1.5471802315717067e-02 7.5396217417058393e+00 -4.7434449075268982e-02 6.9288662051822764e-06 1.2206113357608249e+03 8.4574526340155769e-03 1.3137871907647919e-04 1.1231515912115905e-07 1.9255090689123859e-03 -2.4967937831350658e-02 1.3813154055297725e-10
7.2072072072072073e+00 5.5915949991201499e+00 -1.5491459179247801e-02 7.5348720529938058e+00 -4.7464360917877119e-02 6.9287749683916031e-06 1.3491191907634941e+03 9.3477432783388333e-03 1.3171260807254168e-04 1.1245630182355054e-07 1.9219044406172550e-03 -2.4992141219550443e-02 1.3813260438561733e-10
