# k_modes P_R(k) P_S(k) P_RS(k) 
1.2389659872111999e+06 6.5778242563767801e-10 1.2253647516369064e-49 2.5858427930757160e-30
1.3718239211249980e+06 6.5326420335579013e-10 1.6385730946627058e-49 3.8929809690869499e-30
1.5189285985217020e+06 6.4876157313769242e-10 2.1912991225357267e-49 5.5654027165769514e-30
1.6818077392287133e+06 6.4427442470346222e-10 2.9472365781393646e-49 7.5854303019385527e-30
1.8621528849232288e+06 6.3980288942328518e-10 3.9779238029115699e-49 1.0068816577555648e-29
2.0618369662267016e+06 6.3534697215235490e-10 5.3943056399834974e-49 1.3057681282210455e-29
2.2829337535699666e+06 6.3090663624880724e-10 7.3457575734384069e-49 1.6662122140169569e-29
2.5277393938314007e+06 6.2648157315862407e-10 1.0042542388595972e-48 2.0921427694935987e-29
2.7987962564115264e+06 6.2207213168268335e-10 1.3803968606176344e-48 2.5888890982656968e-29
3.0989193363917051e+06 6.1767813471979779e-10 1.9035029760984441e-48 3.1743030750399945e-29
3.4312254889804902e+06 6.1329991851169042e-10 2.6314371581490597e-48 3.8480912776269443e-29
3.7991657988548731e+06 6.0893710524715071e-10 3.6443104489396455e-48 4.6204532901412724e-29
4.2065614205603302e+06 6.0458992536643828e-10 5.0586054831570402e-48 5.4999184395788387e-29
4.6576432621814338e+06 6.0025821824532191e-10 7.0288471722212410e-48 6.4947421848203855e-29
5.1570959244081201e+06 5.9594194905821497e-10 9.7602152146888694e-48 7.6060120329179929e-29
5.7101063513160991e+06 5.9164122957886584e-10 1.3538049854490096e-47 8.8336809400028976e-29
6.3224176981122503e+06 5.8735530813711783e-10 1.8778135173054725e-47 1.0198719322298719e-28
7.0003889752753554e+06 5.8308607253719472e-10 2.5934104552364249e-47 1.1643872731226817e-28
7.7510610885118842e+06 5.7882837518864490e-10 3.5766355921144509e-47 1.3195258798929778e-28
8.5822299603687190e+06 5.7458527064526633e-10 4.9189569670877928e-47 1.4827435337298347e-28
9.5025274928895365e+06 5.7035802175642203e-10 6.7524348772619983e-47 1.6529436960161738e-28
1.0521511212132797e+07 5.6614615167916658e-10 9.2224636479486875e-47 1.8207807283702611e-28
