# k_modes P_R(k) P_S(k) P_RS(k) 
1.3197591116787046e+00 3.0292587093951128e-09 2.5229157740797080e-69 2.7644905424563705e-39
1.4671479220815451e+00 2.9889355684558756e-09 2.4741415169454329e-69 2.7193631209032114e-39
1.6309969040715568e+00 2.9467658159551515e-09 2.4274261312481676e-69 2.6745085261720291e-39
1.8131443060743744e+00 2.9029722955897528e-09 2.3759833775449139e-69 2.6262900358833323e-39
2.0156336694712031e+00 2.8577581813316657e-09 2.6113351731073592e-69 2.7317691657996724e-39
2.2407367554225410e+00 2.8113300094659708e-09 2.2783681928378879e-69 2.5308476527789749e-39
2.4909790321267842e+00 2.7639517052697554e-09 2.1795748095368805e-69 2.4543890825114560e-39
2.7691680084594332e+00 2.7159163809031219e-09 2.2679060708352212e-69 2.4817075151225795e-39
3.0784247318726083e+00 2.6675041261109369e-09 2.1380509016336368e-69 2.3879143706970025e-39
3.4222188039349390e+00 2.6189770862199600e-09 2.0945677450588307e-69 2.3417067688289766e-39
3.8044073063568931e+00 2.5705485406397176e-09 1.9991662955883856e-69 2.2661970481515041e-39
4.2292780742189038e+00 2.5227875949635382e-09 2.0096320936919716e-69 2.2504415551378627e-39
4.7015978018918236e+00 2.4758197996907302e-09 1.9726456215815994e-69 2.2081011388707525e-39
5.2266655213576971e+00 2.4299462007631460e-09 1.9347192886847758e-69 2.1654464305656404e-39
5.8103720529129754e+00 2.3854877888470584e-09 1.8535356084352184e-69 2.0987095552178633e-39
6.4592660952412393e+00 2.3427966356933422e-09 1.9061517589730570e-69 2.1072705000500523e-39
7.1806276963307383e+00 2.3022346087905803e-09 1.8422665900817551e-69 2.0510469566194909e-39
7.9825499295189486e+00 2.2642025818844167e-09 1.8163200232889089e-69 2.0161565931237728e-39
8.8740296910009846e+00 2.2291266375307146e-09 1.7950064450917727e-69 1.9839784119869228e-39
9.8650686374739198e+00 2.1974712839698517e-09 1.7759594365697177e-69 1.9530350601174723e-39
1.0966785396352888e+01 2.1697290881873478e-09 1.7596418745699451e-69 1.9233122594602219e-39
1.2191540307463669e+01 2.1464172437463145e-09 1.7478268948426247e-69 1.8954079460901993e-39
1.3553074095709114e+01 2.1280653349015916e-09 1.7410663617952586e-69 1.8690429360307375e-39
1.5066662030500675e+01 2.1152108461711311e-09 1.7365837225813080e-69 1.8419738783568677e-39
1.6749285301494812e+01 2.1083540794949194e-09 1.8532867916683876e-69 1.8745897423886376e-39
1.8619821533326562e+01 2.1079186482969909e-09 1.7418628190618355e-69 1.7853357513422735e-39
2.0699256576756142e+01 2.1142865534971003e-09 1.7427423097897678e-69 1.7482718844892833e-39
2.3010919952347962e+01 2.1275010205427603e-09 1.7672755177942295e-69 1.7150406566915440e-39
2.5580746588163016e+01 2.1472054288542243e-09 1.7766899110665720e-69 1.6635101801164678e-39
2.8437567787942502e+01 2.1726718952487745e-09 1.8217512470283728e-69 1.6147819182156660e-39
3.1613434694202109e+01 2.2025994969151797e-09 1.8657996294743975e-69 1.5464160225621705e-39
3.5143977875222163e+01 2.2349878349366151e-09 2.0511873057737929e-69 1.5064321382371222e-39
3.9068807070198588e+01 2.2670503522612306e-09 1.8711318676512769e-69 1.2965250584421190e-39
4.3431955577360782e+01 2.2952084093154230e-09 2.1281637497252695e-69 1.2213348904451247e-39
4.8282374270718996e+01 2.3151987720598039e-09 2.2914553442420917e-69 1.0551057123074519e-39
5.3674480787895618e+01 2.3223626170845051e-09 2.5250400771116044e-69 8.5050769793208688e-40
5.9668770050468247e+01 2.3121364089676118e-09 2.8571344855288292e-69 5.9814272949045018e-40
6.6332492966351523e+01 2.2807524711514996e-09 3.2120463752605788e-69 2.5027672173416777e-40
7.3740410928690594e+01 2.2260952651576903e-09 3.7506867549183914e-69 -1.6348936273398107e-40
8.1975634576111972e+01 2.1485533647383665e-09 4.9990615609174610e-69 -5.5167673763809592e-40
9.1130556224519978e+01 2.0516678802566463e-09 6.1744122725353300e-69 -1.1691501063566720e-39
1.0130788643154271e+02 1.9422783413539938e-09 8.5893328486665147e-69 -1.7566793586458731e-39
1.1262180632301320e+02 1.8299553793259986e-09 1.1685955630246773e-68 -2.5513788096755786e-39
1.2519924860962428e+02 1.7257382016822921e-09 1.6190150650997165e-68 -3.5137245055383894e-39
1.3918132166569146e+02 1.6398684259087203e-09 2.2788360908486466e-68 -4.6653182360688723e-39
1.5472489264699598e+02 1.5800134176993644e-09 3.2246538301383288e-68 -6.0630002704398341e-39
1.7200434740896449e+02 1.5496149785031822e-09 4.5937086014036459e-68 -7.7065085580072593e-39
1.9121354696999467e+02 1.5476103155636184e-09 6.4895602210849403e-68 -9.6555779091858308e-39
2.1256800246980728e+02 1.5693986803180756e-09 9.2968462841420243e-68 -1.1922177683326937e-38
2.3630729302403705e+02 1.6086546325868007e-09 1.3155553169680959e-67 -1.4533195491531936e-38
2.6269775360136651e+02 1.6591934650968246e-09 1.8302668663475281e-67 -1.7381696807890958e-38
2.9203546307893515e+02 1.7161692933350611e-09 2.5420027629923214e-67 -2.0588129914638021e-38
3.2464956599950330e+02 1.7763921297008924e-09 3.5640428513172946e-67 -2.4363365532880406e-38
3.6090596529770733e+02 1.8380318933532817e-09 4.8760944506425233e-67 -2.8263868558137553e-38
4.0121142742469874e+02 1.9001369927111317e-09 6.5928239850285641e-67 -3.2330353383841994e-38
4.4601814592724020e+02 1.9622613081237869e-09 8.7870502585693822e-67 -3.6535106891381879e-38
4.9582881468078187e+02 2.0242530828575099e-09 1.1542106323098668e-66 -4.0287892810860572e-38
5.5120226769395720e+02 2.0861219167592008e-09 1.4879710751172388e-66 -4.4700531680023935e-38
6.1275974875837926e+02 2.1479277360924185e-09 3.1767667567521821e-66 -6.2452486650759244e-38
6.8119188128396081e+02 2.2096699454102890e-09 2.3014328721726406e-66 -5.0640157093508459e-38
7.5726641651547675e+02 2.2717804987164840e-09 2.7371357978369957e-66 -5.2331371632223598e-38
8.4183684705887276e+02 2.3330575264604029e-09 3.0090000571267794e-66 -4.9987690472321834e-38
9.3585198235387486e+02 2.3925339226671561e-09 3.3715791170847225e-66 -5.0102430640806944e-38
1.0403665935216875e+03 2.4485773343762248e-09 3.3649050706903539e-66 -4.4862865025717935e-38
1.1565532470140613e+03 2.4988285972767983e-09 3.0260879796133288e-66 -3.8656177117028336e-38
1.2857154598273676e+03 2.5401693724091038e-09 2.2593127459308165e-66 -2.9673712637966207e-38
1.4293023238721678e+03 2.5688477926393536e-09 1.1674539264119995e-66 -1.9427709010884513e-38
1.5889247635714667e+03 2.5808160830236575e-09 1.7959964811772782e-67 -9.9751578999591763e-39
1.7663736090842879e+03 2.5723192197359163e-09 3.3436460762367050e-67 -4.4803872264579430e-39
1.9636396879210185e+03 2.5406742049585575e-09 3.3014979611537841e-66 -9.8099989921987435e-39
2.1829361603616217e+03 2.4850207810910871e-09 1.3316424158577959e-65 -2.1663407467513993e-38
2.4267233492614173e+03 2.4067983033807590e-09 3.4659652865698071e-65 -5.5980614986269395e-38
2.6977363428140711e+03 2.3097133932797466e-09 7.5214026558628048e-65 -1.1508097681828011e-37
2.9990156799516767e+03 2.1991682377472762e-09 1.3564646064297124e-64 -2.1689844029910969e-37
3.3339414626464454e+03 2.0813343654028210e-09 2.6109194723169415e-64 -3.3040274107660944e-37
3.7062712778254695e+03 1.9621714026966035e-09 4.3606667145447247e-64 -5.0155435185000330e-37
4.1201823543506971e+03 1.8466864549755514e-09 7.1009704501439863e-64 -7.2025133266460987e-37
4.5803184280301512e+03 1.7385595801214103e-09 1.1368327487430836e-63 -9.7311220659030289e-37
5.0918418404465956e+03 1.6402457897044962e-09 1.7531669487414126e-63 -1.2910775045139682e-36
5.6604914561088226e+03 1.5526424226516564e-09 2.5690946878947024e-63 -1.6750315538282284e-36
6.2926470477077582e+03 1.4759270483476761e-09 3.8923126779512381e-63 -2.1289103889907550e-36
6.9954008718255982e+03 1.4096774810510450e-09 5.9853127678965861e-63 -2.6541290003757758e-36
7.7766372381181736e+03 1.3530929584599418e-09 8.6788184735232695e-63 -3.2761261469590149e-36
8.6451209646693897e+03 1.3051784678860455e-09 1.2636007274299044e-62 -3.9727604742792252e-36
9.6105957119136474e+03 1.2648734397377534e-09 1.8351984795228250e-62 -4.7892089232285878e-36
1.0683893298349563e+04 1.2311351872446691e-09 2.6482178780114867e-62 -5.7088835844602130e-36
1.1877055224476890e+04 1.2029871647020556e-09 3.8031374814515950e-62 -6.7453849953587587e-36
1.3203467768352262e+04 1.1795406885025510e-09 5.4426349250792754e-62 -7.9123610424075531e-36
1.4678012168424182e+04 1.1600061106428712e-09 7.7411851541163567e-62 -9.2009332017823610e-36
1.6317231578571422e+04 1.1436942418230619e-09 1.0947788711465477e-61 -1.0598811685395815e-35
1.8139516668442309e+04 1.1300117164506426e-09 1.5439958805802176e-61 -1.2135784829056948e-35
2.0165311951373478e+04 1.1184497887192249e-09 2.1620035013320289e-61 -1.3749098758206456e-35
2.2417345154716684e+04 1.1085828779484892e-09 3.0196313265313186e-61 -1.5474647075716931e-35
2.4920882205914462e+04 1.1000495395404951e-09 4.1907818364937314e-61 -1.7178286923693075e-35
2.7704010695057506e+04 1.0925526479473605e-09 5.6930276227402149e-61 -1.8606992705177040e-35
3.0797954994133564e+04 1.0858316128827092e-09 7.9670130434921389e-61 -2.0540181118075068e-35
3.4237426568345159e+04 1.0796963306512038e-09 1.0906649351205169e-60 -2.2010286782823885e-35
3.8061013409692459e+04 1.0739919953406864e-09 1.4374353142735754e-60 -2.2345046144939810e-35
4.2311612961943880e+04 1.0685943421884871e-09 1.9839825435418961e-60 -2.3203770901827426e-35
4.7036913394046067e+04 1.0634001492732533e-09 2.7317463962540202e-60 -2.3799229592623014e-35
5.2289928621462648e+04 1.0583335429449053e-09 3.6868871186803479e-60 -2.3042384317316604e-35
5.8129593077928184e+04 1.0533351623343345e-09 4.8914462838823568e-60 -2.1272901437108052e-35
6.4621422910464309e+04 1.0483607207526537e-09 6.6494303435572137e-60 -1.7291870884280736e-35
7.1838251015706235e+04 1.0433785240822434e-09 8.9472489731286948e-60 -1.3185028738462120e-35
7.9861044164039107e+04 1.0383661178534195e-09 1.1944415756403147e-59 -4.2448082636694495e-36
8.8779811378985032e+04 1.0333099843764539e-09 1.6073653298088349e-59 5.5457872106186504e-36
9.8694613763106026e+04 1.0282015940438921e-09 2.1255012754848400e-59 2.2675476748160686e-35
1.0971668709981433e+05 1.0230374438979439e-09 2.8765280421658159e-59 4.0778535381825671e-35
1.2196968982575380e+05 1.0178163315476081e-09 3.8694270122536256e-59 6.6394848726645010e-35
1.3559109037494540e+05 1.0125403474426030e-09 5.2072947350771854e-59 9.8154937847839989e-35
1.5073370945955065e+05 1.0072131862989609e-09 6.8629761834282387e-59 1.4024504525565672e-34
1.6756743459033698e+05 1.0018394578341272e-09 9.6252499408379450e-59 1.8532843996015316e-34
1.8628112607234638e+05 9.9641112968099753e-10 1.3140256976865996e-58 2.4683753718665553e-34
2.0708473585942408e+05 9.9093786846052870e-10 1.8018653625519148e-58 3.1789150845271155e-34
2.3021166303940339e+05 9.8543356224242327e-10 2.5022653931415298e-58 4.0504302214484696e-34
2.5592137237649405e+05 9.7990509502622695e-10 3.4803373233332315e-58 5.0168264708066403e-34
2.8450230528875528e+05 9.7435723347393875e-10 4.8477893615406152e-58 6.2767963025365087e-34
3.1627511591935519e+05 9.6879472875286465e-10 6.7899705455228288e-58 7.6987748115089507e-34
3.5159626860765106e+05 9.6322227557066840e-10 9.5228165208554385e-58 9.3411536704529278e-34
3.9086203712069785e+05 9.5764417605739315e-10 1.3397465125485560e-57 1.1233072008397519e-33
4.3451295051319740e+05 9.5206312567863188e-10 1.8892999001329727e-57 1.3404805978523490e-33
4.8303873549475305e+05 9.4648296665552951e-10 2.6584857070575942e-57 1.5840977588710066e-33
5.3698381075360440e+05 9.4090644544915721e-10 3.7423638264425192e-57 1.8579697884366153e-33
5.9695339487861039e+05 9.3533620755659953e-10 5.2666927387770495e-57 2.1661424017863930e-33
6.6362029640519246e+05 9.2977400028187774e-10 7.3857700093236199e-57 2.4945523764283939e-33
7.3773246216393542e+05 9.2422208418124259e-10 1.0368370268424350e-56 2.8591196565362410e-33
8.2012136861792614e+05 9.1868156342331271e-10 1.4418884408850584e-56 3.2387651897323548e-33
9.1171135033269180e+05 9.1315388849309711e-10 2.0052569481706418e-56 3.6391146394165013e-33
1.0135299702362715e+06 9.0764071821241232e-10 2.7825002454847688e-56 4.0858413378668492e-33
1.1267195480151598e+06 9.0213333909318377e-10 3.8165674213862262e-56 4.4483434770824647e-33
1.2525499759849617e+06 8.9663040875093670e-10 5.2687182595818217e-56 4.8288781076313253e-33
1.3924329662192259e+06 8.9114380739719679e-10 7.1070512420557194e-56 5.0719285604738067e-33
1.5479378887771759e+06 8.8567401492423253e-10 9.7829220619144804e-56 5.4457485398198380e-33
1.7208093787221529e+06 8.8022147523427610e-10 1.3466418817301704e-55 5.6235862800321392e-33
1.9129869094666040e+06 8.7478563723424578e-10 1.8139740300338108e-55 5.6207564919768094e-33
2.1266265520403585e+06 8.6936794848875719e-10 2.4491734456342069e-55 5.4262217640671821e-33
2.3641251644027513e+06 8.6396747449613067e-10 3.2983689835824226e-55 4.9060697816528140e-33
2.6281472821826637e+06 8.5858486082443084e-10 4.4305921662932017e-55 4.0556554724789000e-33
2.9216550125378193e+06 8.5322035160300942e-10 5.9584694369022505e-55 2.8303330027739501e-33
3.2479412665176955e+06 8.4787370535778565e-10 7.9514049519078091e-55 8.0446630101503848e-34
3.6106667027690271e+06 8.4254481582241172e-10 1.0693453952835011e-54 -1.7244371550633164e-33
4.0139007970617143e+06 8.3723400343445519e-10 1.4318275558862341e-54 -5.2899369278441673e-33
4.4621674984004302e+06 8.3194137630352337e-10 1.9251859189172177e-54 -9.7812587293830701e-33
4.9604959839457385e+06 8.2666660977274608e-10 2.5909899449143614e-54 -1.5775081063898604e-32
5.5144770821719477e+06 8.2140979929799942e-10 3.4974451697218266e-54 -2.3293107974392156e-32
6.1303259972828561e+06 8.1617123536642913e-10 4.7519132195042112e-54 -3.2506810986660335e-32
6.8149520386002157e+06 8.1094472044061371e-10 6.4800122738079382e-54 -4.3947460825347513e-32
7.5760361372309746e+06 8.0572347318388460e-10 8.8708160781345258e-54 -5.8030129897865564e-32
8.4221170196846370e+06 8.0052048610670917e-10 1.2197678224281817e-53 -7.5160713857689806e-32
9.3626870052374713e+06 7.9533549445615383e-10 1.6881791704061851e-53 -9.5408329993681621e-32
1.0408298501808828e+07 7.9016845751600096e-10 2.3471924307371709e-53 -1.1943063690109685e-31
1.1570682395145241e+07 7.8501913430473569e-10 3.2782410762218596e-53 -1.4751178838705612e-31
1.2862879659538660e+07 7.7988775398256258e-10 4.5917541989226916e-53 -1.8053451046167143e-31
1.4299387666642215e+07 7.7477404709149064e-10 6.4443474946718697e-53 -2.1874604079569459e-31
1.5896322833844522e+07 7.6967812953577013e-10 8.9195564880415203e-53 -2.6070616913337924e-31
1.7671601436982736e+07 7.6459989098704387e-10 1.2753956544536463e-52 -3.1222370677064013e-31
1.9645140615959849e+07 7.5953939351367911e-10 1.7962490750020456e-52 -3.6848732076339932e-31
2.1839081828383017e+07 7.5449662422294931e-10 2.5291885061928881e-52 -4.3135251159181025e-31
2.4278039258183450e+07 7.4947170056777132e-10 3.5529438591955811e-52 -5.0076254615221493e-31
2.6989375966157116e+07 7.4446432801383511e-10 4.9753299780214664e-52 -5.7544363885044200e-31
3.0003510880601577e+07 7.3947459099158101e-10 6.9477575539887900e-52 -6.5539748128131037e-31
3.3354260072229080e+07 7.3450256928199727e-10 9.6846786430738402e-52 -7.4144690500792064e-31
3.7079216142174147e+07 7.2954848085443051e-10 1.3438435201940538e-51 -8.3102575640296334e-31
4.1220169979509883e+07 7.2460839445639823e-10 1.8608507058142041e-51 -9.1867816031819624e-31
4.5823579620042838e+07 7.1967275013184629e-10 2.5637737946346744e-51 -1.0036486203696288e-30
5.0941091466585062e+07 7.1475506434988780e-10 3.5238083543076418e-51 -1.0861976959462603e-30
5.6630119718363680e+07 7.0985521889958692e-10 4.8077907092208333e-51 -1.1497328035749626e-30
6.2954490510275200e+07 7.0497278266899386e-10 6.5665540668863437e-51 -1.2002675800583181e-30
6.9985157988694146e+07 7.0010819830559622e-10 8.8977592805927096e-51 -1.2184274524628624e-30
7.7801000357600212e+07 6.9526116489813514e-10 1.2028887534787241e-50 -1.1956136756906211e-30
8.6489704826002881e+07 6.9043168446493163e-10 1.6157685246116205e-50 -1.1177531355546213e-30
9.6148751385024101e+07 6.8562007242898998e-10 2.1837672991829370e-50 -9.7464135731107565e-31
1.0688650645180459e+08 6.8082582461981324e-10 2.9383491195362057e-50 -7.5091432556934220e-31
1.1882343864998996e+08 6.7604922144807944e-10 3.9376749844792185e-50 -4.0055624703799818e-31
1.3209347036685440e+08 6.7129015786265097e-10 5.2896441704972801e-50 6.7628439176318443e-32
1.4684548025037751e+08 6.6654885483680079e-10 7.1004029366178881e-50 7.2336656189886677e-31
1.6324497350305712e+08 6.6182486259726672e-10 9.5342638117844916e-50 1.6060447924886477e-30
1.8147593871174046e+08 6.5711864291640996e-10 1.2796768010561717e-49 2.7460405959079242e-30
2.0174291204556385e+08 6.5242991601314201e-10 1.7292820198248081e-49 4.1875705014624625e-30
2.2427327198055175e+08 6.4775906101740082e-10 2.3486749667437279e-49 5.9511690712646564e-30
2.4931979029579276e+08 6.4310326734093070e-10 3.1875264514202598e-49 8.2178192832923210e-30
2.7716346796121079e+08 6.3845268012149954e-10 4.3493676436204481e-49 1.0951542759929362e-29
3.0811668773324031e+08 6.3381888587599253e-10 5.9944509005890434e-49 1.4234516878926673e-29
3.4252671882785600e+08 6.2920340909622913e-10 8.2698731250920393e-49 1.8233918798947243e-29
3.8077961299049729e+08 6.2460534619774494e-10 1.1479019361782070e-48 2.2956234192439427e-29
4.2330453567349595e+08 6.2002461652409380e-10 1.6000842962321795e-48 2.8501576808705553e-29
4.7057858091322559e+08 6.1546179072312178e-10 2.2394772267801729e-48 3.4971409011432903e-29
5.2313212392581111e+08 6.1091635622415502e-10 3.1412432409162035e-48 4.2548362431897571e-29
5.8155477147310770e+08 6.0638849018235611e-10 4.4113209605161082e-48 5.1184647192570376e-29
6.4650197675702083e+08 6.0187818874739305e-10 6.2065621118633661e-48 6.1043370685142809e-29
